date_str,fpl_gw,tff_gw
2024-08-16,1,1
2024-08-17,1,1
2024-08-18,1,1
2024-08-19,1,1
2024-08-20,1,2
2024-08-21,1,2
2024-08-22,1,2
2024-08-23,2,2
2024-08-24,2,2
2024-08-25,2,2
2024-08-26,2,2
2024-08-27,2,3
2024-08-28,2,3
2024-08-29,2,3
2024-08-30,3,3
2024-08-31,3,3
2024-09-01,3,3
2024-09-02,3,3
2024-09-03,3,3
2024-09-04,3,3
2024-09-05,3,3
2024-09-06,3,3
2024-09-07,3,3
2024-09-08,3,3
2024-09-09,3,3
2024-09-10,3,4
2024-09-11,3,4
2024-09-12,3,4
2024-09-13,4,4
2024-09-14,4,4
2024-09-15,4,4
2024-09-16,4,4
2024-09-17,4,5
2024-09-18,4,5
2024-09-19,4,5
2024-09-20,5,5
2024-09-21,5,5
2024-09-22,5,5
2024-09-23,5,5
2024-09-24,5,6
2024-09-25,5,6
2024-09-26,5,6
2024-09-27,6,6
2024-09-28,6,6
2024-09-29,6,6
2024-09-30,6,6
2024-10-01,6,7
2024-10-02,6,7
2024-10-03,6,7
2024-10-04,7,7
2024-10-05,7,7
2024-10-06,7,7
2024-10-07,7,7
2024-10-08,7,7
2024-10-09,7,7
2024-10-10,7,7
2024-10-11,7,7
2024-10-12,7,7
2024-10-13,7,7
2024-10-14,7,7
2024-10-15,7,8
2024-10-16,7,8
2024-10-17,7,8
2024-10-18,8,8
2024-10-19,8,8
2024-10-20,8,8
2024-10-21,8,8
2024-10-22,8,9
2024-10-23,8,9
2024-10-24,8,9
2024-10-25,9,9
2024-10-26,9,9
2024-10-27,9,9
2024-10-28,9,9
2024-10-29,9,10
2024-10-30,9,10
2024-10-31,9,10
2024-11-01,10,10
2024-11-02,10,10
2024-11-03,10,10
2024-11-04,10,10
2024-11-05,10,11
2024-11-06,10,11
2024-11-07,10,11
2024-11-08,11,11
2024-11-09,11,11
2024-11-10,11,11
2024-11-11,11,11
2024-11-12,11,11
2024-11-13,11,11
2024-11-14,11,11
2024-11-15,11,11
2024-11-16,11,11
2024-11-17,11,11
2024-11-18,11,11
2024-11-19,11,12
2024-11-20,11,12
2024-11-21,11,12
2024-11-22,12,12
2024-11-23,12,12
2024-11-24,12,12
2024-11-25,12,12
2024-11-26,12,13
2024-11-27,12,13
2024-11-28,12,13
2024-11-29,13,13
2024-11-30,13,13
2024-12-01,13,13
2024-12-02,13,13
2024-12-03,14,14
2024-12-04,14,14
2024-12-05,14,14
2024-12-06,15,14
2024-12-07,15,14
2024-12-08,15,14
2024-12-09,15,14
2024-12-10,15,15
2024-12-11,15,15
2024-12-12,15,15
2024-12-13,16,15
2024-12-14,16,15
2024-12-15,16,15
2024-12-16,16,15
2024-12-17,16,16
2024-12-18,16,16
2024-12-19,16,16
2024-12-20,17,16
2024-12-21,17,16
2024-12-22,17,16
2024-12-23,17,16
2024-12-24,17,17
2024-12-25,18,17
2024-12-26,18,17
2024-12-27,18,17
2024-12-28,19,17
2024-12-29,19,17
2024-12-30,19,17
2024-12-31,19,18
2025-01-01,19,18
2025-01-02,19,18
2025-01-03,19,18
2025-01-04,20,18
2025-01-05,20,18
2025-01-06,20,18
2025-01-07,20,18
2025-01-08,20,18
2025-01-09,20,18
2025-01-10,20,18
2025-01-11,20,18
2025-01-12,20,18
2025-01-13,20,18
2025-01-14,21,20
2025-01-15,21,20
2025-01-16,21,20
2025-01-17,22,20
2025-01-18,22,20
2025-01-19,22,20
2025-01-20,22,20
2025-01-21,22,21
2025-01-22,22,21
2025-01-23,22,21
2025-01-24,23,21
2025-01-25,23,21
2025-01-26,23,21
2025-01-27,23,21
2025-01-28,23,22
2025-01-29,23,22
2025-01-30,23,22
2025-01-31,24,22
2025-02-01,24,22
2025-02-02,24,22
2025-02-03,24,22
2025-02-04,24,22
2025-02-05,24,22
2025-02-06,24,22
2025-02-07,24,22
2025-02-08,24,22
2025-02-09,24,22
2025-02-10,24,22
2025-02-11,24,23
2025-02-12,24,23
2025-02-13,24,23
2025-02-14,25,23
2025-02-15,25,23
2025-02-16,25,23
2025-02-17,25,23
2025-02-18,25,25
2025-02-19,25,25
2025-02-20,25,25
2025-02-21,26,25
2025-02-22,26,25
2025-02-23,26,25
2025-02-24,26,25
2025-02-25,27,26
2025-02-26,27,26
2025-02-27,27,26
2025-02-28,27,26
2025-03-01,27,26
2025-03-02,27,26
2025-03-03,27,26
2025-03-04,27,27
2025-03-05,27,27
2025-03-06,27,27
2025-03-07,28,27
2025-03-08,28,27
2025-03-09,28,27
2025-03-10,28,27
2025-03-11,28,28
2025-03-12,28,28
2025-03-13,28,28
2025-03-14,29,28
2025-03-15,29,28
2025-03-16,29,28
2025-03-17,29,28
2025-03-18,29,29
2025-03-19,29,29
2025-03-20,29,29
2025-03-21,29,29
2025-03-22,29,29
2025-03-23,29,29
2025-03-24,29,29
2025-03-25,27,29
2025-03-26,27,29
2025-03-27,27,29
2025-03-28,27,29
2025-03-29,27,29
2025-03-30,27,29
2025-03-31,27,29
2025-04-01,30,30
2025-04-02,30,30
2025-04-03,30,30
2025-04-04,31,30
2025-04-05,31,30
2025-04-06,31,30
2025-04-07,31,30
2025-04-08,31,31
2025-04-09,31,31
2025-04-10,31,31
2025-04-11,32,31
2025-04-12,32,31
2025-04-13,32,31
2025-04-14,32,31
2025-04-15,32,32
2025-04-16,32,32
2025-04-17,32,32
2025-04-18,33,32
2025-04-19,33,32
2025-04-20,33,32
2025-04-21,33,32
2025-04-22,33,33
2025-04-23,33,33
2025-04-24,33,33
2025-04-25,34,33
2025-04-26,34,33
2025-04-27,34,33
2025-04-28,34,33
2025-04-29,34,34
2025-04-30,34,34
2025-05-01,34,34
2025-05-02,35,34
2025-05-03,35,34
2025-05-04,35,34
2025-05-05,35,34
2025-05-06,35,35
2025-05-07,35,35
2025-05-08,35,35
2025-05-09,36,35
2025-05-10,36,35
2025-05-11,36,35
2025-05-12,36,35
2025-05-13,36,36
2025-05-14,36,36
2025-05-15,36,36
2025-05-16,37,36
2025-05-17,37,36
2025-05-18,37,36
2025-05-19,37,36
2025-05-20,37,37
2025-05-21,37,37
2025-05-22,37,37
2025-05-23,38,37
2025-05-24,38,37
2025-05-25,38,37
2025-05-26,38,37
2025-05-27,38,37
2025-05-28,38,37
2025-05-29,38,37
2025-05-30,38,37
2025-05-31,38,37
2025-06-01,38,37
2025-06-02,38,37
2025-06-03,38,37
2025-06-04,38,37
2025-06-05,38,37
2025-06-06,38,37
2025-06-07,38,37
2025-06-08,38,37
2025-06-09,38,37
2025-06-10,38,37
2025-06-11,38,37
2025-06-12,38,37
2025-06-13,38,37
2025-06-14,38,37
2025-06-15,38,37
2025-06-16,38,37
2025-06-17,38,37
2025-06-18,38,37
2025-06-19,38,37
2025-06-20,38,37
2025-06-21,38,37
2025-06-22,38,37
2025-06-23,38,37
2025-06-24,38,37
2025-06-25,38,37
2025-06-26,38,37
2025-06-27,38,37
2025-06-28,38,37
2025-06-29,38,37
2025-06-30,38,37
