fotmob_team,spreadex_team,fbref_team,short_team,review_short_team,tff_team_id,g_for,g_for_k,g_against,g_against_k,npxg_for,npxg_for_k,npxg_against,npxg_against_k,pass_for,pass_for_k,pass_against,pass_against_k,sot_for,sot_for_k,sot_against,sot_against_k,tackle_for,tackle_for_k,tackle_against,tackle_against_k,pk_att_for,pk_att_for_k,pk_att_against,pk_att_against_k,og_for,og_for_k,og_against,og_against_k,yc_for,yc_for_k,yc_against,yc_against_k,rc_for,rc_for_k,rc_against,rc_against_k,home_adv,nik_season_gf,nik_season_ga,spreadex_ssn_pts,elevenify_ssn_g_for,elevenify_ssn_g_against,elevenify_att_manual,elevenify_def_manual,implied_gd
Man City,Man City,Manchester City,MCI,MCI,43.0,2.27,1.46,0.99,0.64,2.03,1.46,0.88,0.64,640.13,1.5,312.68,0.75,6.93,1.46,2.85,0.62,8.06,0.76,9.06,0.87,0.22,1.53,0.09,0.65,0.03,0.64,0.07,1.38,1.57,0.7,2.4,1.07,0.05,0.68,0.08,1.03,1.16,90.2,35.7,83.75,91.0,35.0,2.25,0.97,1.28
Arsenal,Arsenal,Arsenal,ARS,ARS,3.0,2.02,1.3,0.9,0.58,1.81,1.3,0.8,0.58,475.83,1.11,344.32,0.83,5.76,1.22,2.57,0.56,9.53,0.9,9.98,0.96,0.19,1.37,0.08,0.61,0.03,0.55,0.07,1.45,1.9,0.85,2.2,0.98,0.07,0.98,0.07,0.9,1.16,84.7,32.7,82.25,82.0,32.0,2.0,0.89,1.13
Liverpool,Liverpool,Liverpool,LIV,LIV,14.0,2.17,1.4,1.18,0.76,1.94,1.4,1.05,0.76,526.96,1.23,314.74,0.76,6.65,1.4,3.63,0.79,10.91,1.03,11.4,1.1,0.21,1.48,0.08,0.6,0.04,0.74,0.07,1.5,1.98,0.88,2.64,1.17,0.07,1.0,0.09,1.17,1.15,86.9,49.2,74.25,85.0,48.0,2.13,1.15,1.0
Chelsea,Chelsea,Chelsea,CHE,CHE,8.0,1.89,1.22,1.48,0.95,1.69,1.22,1.32,0.95,514.6,1.2,346.53,0.83,5.4,1.14,4.65,1.01,9.91,0.94,11.11,1.07,0.2,1.45,0.14,1.02,0.05,0.97,0.06,1.13,2.87,1.28,2.68,1.19,0.09,1.27,0.09,1.24,1.12,77.1,57.9,66.75,71.0,56.0,1.86,1.44,0.42
Tottenham,Tottenham,Tottenham,TOT,TOT,6.0,1.91,1.23,1.5,0.96,1.7,1.23,1.34,0.96,534.45,1.25,298.83,0.72,5.68,1.2,4.23,0.92,12.09,1.14,11.64,1.12,0.14,0.95,0.14,1.03,0.05,0.98,0.07,1.36,2.47,1.1,2.6,1.16,0.08,1.12,0.09,1.27,1.12,73.8,60.7,64.25,71.0,60.0,1.87,1.45,0.41
Newcastle,Newcastle,Newcastle Utd,NEW,NEW,4.0,1.84,1.19,1.55,1.0,1.64,1.19,1.39,1.0,416.66,0.98,383.3,0.92,5.16,1.09,4.9,1.06,10.34,0.98,10.94,1.05,0.19,1.33,0.13,0.96,0.05,0.96,0.06,1.14,2.14,0.96,2.67,1.19,0.07,0.89,0.08,1.12,1.12,73.5,61.0,64.25,73.0,59.0,1.8,1.51,0.29
Aston Villa,Aston Villa,Aston Villa,AVL,AVL,7.0,1.66,1.07,1.53,0.99,1.49,1.07,1.37,0.99,419.91,0.98,371.62,0.9,4.84,1.02,4.38,0.95,8.47,0.8,11.32,1.09,0.13,0.94,0.12,0.9,0.05,1.03,0.06,1.15,2.4,1.07,2.7,1.2,0.08,1.04,0.09,1.25,1.11,65.2,64.0,59.75,63.0,60.0,1.63,1.5,0.13
Man United,Man United,Manchester Utd,MUN,MUN,1.0,1.62,1.04,1.61,1.03,1.44,1.04,1.44,1.03,422.49,0.99,403.51,0.97,4.92,1.04,4.79,1.04,11.21,1.06,10.11,0.97,0.15,1.05,0.16,1.17,0.05,0.96,0.05,0.92,2.35,1.05,2.22,0.99,0.07,0.96,0.07,0.91,1.1,59.7,65.1,,66.0,59.0,1.6,1.55,0.01
Brighton,Brighton,Brighton,BHA,BHA,36.0,1.54,0.99,1.58,1.02,1.38,0.99,1.41,1.02,547.4,1.28,350.0,0.84,4.95,1.04,4.35,0.94,9.68,0.92,10.79,1.04,0.14,0.97,0.15,1.11,0.05,0.98,0.05,1.09,2.28,1.02,2.61,1.16,0.07,1.0,0.1,1.39,1.11,55.5,58.9,51.75,58.0,61.0,1.52,1.56,-0.04
Bournemouth,Bournemouth,Bournemouth,BOU,BOU,91.0,1.46,0.94,1.57,1.01,1.31,0.94,1.4,1.01,314.13,0.74,418.72,1.01,4.54,0.96,4.88,1.06,10.74,1.02,12.19,1.17,0.13,0.89,0.14,1.06,0.05,0.93,0.05,0.91,2.24,1.0,2.45,1.09,0.07,0.98,0.08,1.04,1.11,55.8,60.4,45.25,54.0,62.0,1.43,1.54,-0.1
Brentford,Brentford,Brentford,BRE,BRE,94.0,1.5,0.97,1.64,1.05,1.34,0.97,1.46,1.05,338.6,0.79,430.23,1.04,4.49,0.95,5.05,1.09,10.62,1.01,9.04,0.87,0.13,0.91,0.12,0.86,0.05,0.96,0.05,0.98,2.2,0.98,2.09,0.93,0.07,0.91,0.08,1.03,1.11,53.0,63.1,42.75,54.0,59.0,1.46,1.6,-0.14
Fulham,Fulham,Fulham,FUL,FUL,54.0,1.41,0.91,1.58,1.01,1.26,0.91,1.41,1.01,425.13,0.99,421.66,1.02,4.45,0.94,4.69,1.02,10.21,0.97,8.74,0.84,0.12,0.82,0.15,1.11,0.06,1.11,0.04,0.84,2.25,1.01,1.79,0.8,0.08,1.1,0.05,0.69,1.1,51.2,63.5,42.75,50.0,63.0,1.38,1.54,-0.17
Crystal Palace,Crystal Palace,Crystal Palace,CRY,CRY,31.0,1.29,0.83,1.5,0.96,1.15,0.83,1.34,0.96,342.77,0.8,487.55,1.17,4.15,0.88,4.21,0.91,12.34,1.17,11.09,1.07,0.11,0.81,0.11,0.84,0.05,0.97,0.04,0.82,2.14,0.96,2.17,0.96,0.07,0.89,0.07,0.88,1.1,53.6,58.9,49.75,52.0,57.0,1.27,1.47,-0.21
West Ham,West Ham,West Ham,WHU,WHU,21.0,1.41,0.91,1.68,1.08,1.26,0.91,1.5,1.08,335.32,0.78,506.68,1.22,4.05,0.85,5.46,1.18,11.02,1.04,11.19,1.08,0.13,0.95,0.17,1.25,0.06,1.18,0.05,0.93,2.27,1.01,1.93,0.86,0.08,1.05,0.06,0.8,1.1,53.0,69.8,49.25,52.0,62.0,1.38,1.63,-0.28
