tff_id,team,player,tff_pos,tff_cost,2024-08-16T19:00:00Z,2024-08-17T11:30:00Z,2024-08-17T14:00:00Z,2024-08-17T16:30:00Z,2024-08-18T13:00:00Z,2024-08-18T15:30:00Z,2024-08-19T19:00:00Z,2024-08-24T11:30:00Z,2024-08-24T14:00:00Z,2024-08-24T16:30:00Z,2024-08-25T13:00:00Z,2024-08-25T15:30:00Z,2024-08-31T11:30:00Z,2024-08-31T14:00:00Z,2024-08-31T16:30:00Z,2024-09-01T12:30:00Z,2024-09-01T15:00:00Z,2024-09-14T11:30:00Z,2024-09-14T14:00:00Z,2024-09-14T16:30:00Z,2024-09-14T19:00:00Z,2024-09-15T13:00:00Z,2024-09-15T15:30:00Z,2024-09-21T11:30:00Z,2024-09-21T14:00:00Z,2024-09-21T16:30:00Z,2024-09-22T13:00:00Z,2024-09-22T15:30:00Z,2024-09-28T11:30:00Z,2024-09-28T14:00:00Z,2024-09-28T16:30:00Z,2024-09-29T13:00:00Z,2024-09-29T15:30:00Z,2024-09-30T19:00:00Z,2024-10-05T14:00:00Z,2024-10-19T14:00:00Z,2024-10-26T14:00:00Z,2024-11-02T15:00:00Z,2024-11-09T15:00:00Z,2024-11-23T15:00:00Z,total_pts,ppm
223094,MCI,Haaland,F,8.5,0.0,0.0,0.0,0.0,0.0,6.24,0.0,0.0,8.74,0.0,0.0,0.0,0.0,0.0,6.65,0.0,0.0,0.0,7.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,5.88,0.0,0.0,0.0,0.0,0.0,7.62,6.35,8.09,5.86,5.72,7.38,80.42,9.46
118748,LIV,M.Salah,F,7.2,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76,0.0,0.0,0.0,0.0,5.93,0.0,6.24,0.0,0.0,0.0,0.0,0.0,6.47,0.0,0.0,0.0,0.0,0.0,5.85,0.0,0.0,0.0,5.27,6.24,3.72,6.38,6.46,6.18,72.01,10.0
223340,ARS,Saka,M,5.8,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,0.0,0.0,0.0,0.0,0.0,3.88,0.0,6.84,0.0,0.0,0.0,0.0,7.19,5.14,5.36,5.14,5.04,6.06,68.76,11.86
178301,AVL,Watkins,F,5.7,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,3.89,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0,5.55,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,6.06,5.2,5.65,5.01,4.29,5.49,64.05,11.24
85971,TOT,Son,F,6.4,0.0,0.0,0.0,0.0,0.0,0.0,5.52,0.0,5.81,0.0,0.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,0.0,4.88,6.38,4.8,5.79,6.48,3.72,63.44,9.91
244851,CHE,Palmer,M,5.8,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0.0,0.0,5.07,0.0,0.0,5.69,0.0,0.0,0.0,0.0,0.0,5.69,0.0,0.0,0.0,0.0,5.64,4.17,5.72,5.24,3.83,5.31,62.05,10.7
219168,NEW,Isak,F,5.1,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0,4.88,0.0,4.69,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,4.34,4.93,4.36,3.48,4.35,5.85,56.93,11.16
141746,MUN,B.Fernandes,M,6.4,5.28,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,4.96,0.0,4.41,4.77,4.84,4.75,5.13,4.85,56.9,8.89
184029,ARS,Ødegaard,M,5.3,0.0,0.0,5.72,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,0.0,0.0,0.0,0.0,0.0,3.32,0.0,5.47,0.0,0.0,0.0,0.0,5.7,4.22,4.42,4.21,4.16,4.93,55.81,10.53
209244,MCI,Foden,M,5.4,0.0,0.0,0.0,0.0,0.0,4.29,0.0,0.0,5.69,0.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,4.07,0.0,0.0,0.0,0.0,0.0,4.97,4.33,5.52,4.08,4.03,4.85,54.6,10.11
232413,CRY,Eze,M,3.9,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,3.89,3.83,4.42,4.21,4.5,4.04,51.87,13.3
154561,ARS,Raya,G,4.3,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,3.44,0.0,5.08,0.0,0.0,0.0,0.0,5.03,4.28,4.16,3.72,3.67,4.74,51.77,12.04
144485,BRE,Toney,F,5.2,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.0,5.08,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,4.83,4.12,5.03,4.08,4.35,3.87,51.28,9.86
